source,target,source_year
W2207799946,W7029180124,1989
W2207799946,W2078404830,1989
W2207799946,W1513827395,1989
W2207799946,W2001336100,1989
W2207799946,W6640836790,1989
W2207799946,W2217744415,1989
W2207799946,W2118141555,1989
W2207799946,W2060387185,1989
W2207799946,W2097869446,1989
W2207799946,W2140261934,1989
W2207799946,W2033755422,1989
W2207799946,W1539253392,1989
W2207799946,W2031307565,1989
W2207799946,W2106015129,1989
W2207799946,W1603256735,1989
W2207799946,W1966808888,1989
W2207799946,W2142572603,1989
W2207799946,W4254126277,1989
W2207799946,W4235680033,1989
W2207799946,W1964071625,1989
W2207799946,W1566158416,1989
