source,target,source_year
W1575664806,W2487282764,1999
W1575664806,W4237542197,1999
W1575664806,W2147368486,1999
W1575664806,W2062370143,1999
W1575664806,W6682650403,1999
W1575664806,W2155309664,1999
W1575664806,W1540334102,1999
W1575664806,W628288092,1999
W1575664806,W154434644,1999
W1575664806,W2152759373,1999
W1575664806,W2029347091,1999
W1575664806,W1551284826,1999
W1575664806,W2296239191,1999
W1575664806,W2111887076,1999
W2983616417,W2983616417,1999
W2983616417,W1984710451,1999
W2983616417,W1999546558,1999
W2983616417,W2319834167,1999
W3141241810,W2150874632,1999
W3141241810,W2062737404,1999
W3141241810,W2079638262,1999
W3141241810,W1999880428,1999
W3141241810,W2160863544,1999
W3141241810,W2038284325,1999
W3141241810,W2237155658,1999
W3141241810,W2067166017,1999
W3141241810,W2098698627,1999
W3141241810,W1509348956,1999
W3141241810,W1482231600,1999
W2000371847,W2161196887,1999
W2000371847,W1925623712,1999
W2000371847,W2149167609,1999
W2000371847,W2005371019,1999
W2000371847,W2997564063,1999
W2000371847,W2134835560,1999
W2000371847,W2538465308,1999
W2000371847,W1991239353,1999
W2000371847,W2081380801,1999
W2000371847,W2017144087,1999
W2000371847,W3146203989,1999
W2000371847,W2144156073,1999
W2000371847,W2079638262,1999
W2000371847,W2159990547,1999
W2000371847,W1527697199,1999
W2000371847,W2159989065,1999
W2000371847,W3149516640,1999
W2000371847,W1916408832,1999
W2000371847,W2120285502,1999
W2000371847,W2147774191,1999
W2000371847,W2140564800,1999
W2000371847,W2181882298,1999
W2000371847,W4285719527,1999
W2000371847,W1633537789,1999
W2000371847,W2112525093,1999
W2000371847,W44219589,1999
W2000371847,W2023988909,1999
W2000371847,W2073427859,1999
W2169816546,W3144437408,1999
W2169816546,W2058566003,1999
W2169816546,W2163109956,1999
W2169816546,W2127674791,1999
W2169816546,W2114844286,1999
W2169816546,W2080193026,1999
W2169816546,W2140415400,1999
W2169816546,W2002569088,1999
W2169816546,W3143721798,1999
W2169816546,W3139588915,1999
W2169816546,W2051156417,1999
W2169816546,W2047167129,1999
W2169816546,W2147350624,1999
W2169816546,W2129302988,1999
W2169816546,W2057839002,1999
W2169816546,W3148005789,1999
W2169816546,W2539955899,1999
W2169816546,W2043896016,1999
W2169816546,W2085088576,1999
W2169816546,W2073470731,1999
W2169816546,W1993946812,1999
W2169816546,W2012064395,1999
W2169816546,W2129307378,1999
W1599005630,W2065076743,1999
