source,target,source_year
W2106935574,W2134450108,1995
W2106935574,W2155925204,1995
W2106935574,W2010813131,1995
W2106935574,W2061949193,1995
W2106935574,W2016219012,1995
W2106935574,W2098538023,1995
W2106935574,W2142498398,1995
W2106935574,W2003306766,1995
W2106935574,W3152082051,1995
W2106935574,W2112649047,1995
W2106935574,W3027392806,1995
W2106935574,W2141394518,1995
W2106935574,W2120520774,1995
W2106935574,W2295947439,1995
W2106935574,W2140891053,1995
W2106935574,W2100595057,1995
W2106935574,W1989952968,1995
W2103210990,W2119231080,1995
W2103210990,W2039180386,1995
W2103210990,W2146224627,1995
W2103210990,W2168256496,1995
W2103210990,W2229412420,1995
W2103210990,W2074065591,1995
W2103210990,W2100087065,1995
W2103210990,W2159763437,1995
W2103210990,W1982661771,1995
W2103210990,W2107002723,1995
W2103210990,W2033764699,1995
W2103210990,W2121735375,1995
W2103210990,W2134272728,1995
W2103210990,W2151228210,1995
W4254940009,W2054400581,1995
W4254940009,W2108167744,1995
W4254940009,W2167993077,1995
W4254940009,W1877496576,1995
W4254940009,W4247713680,1995
W4254940009,W4300123403,1995
W4254940009,W2051717600,1995
W4254940009,W4237999252,1995
W4254940009,W1578301860,1995
W4254940009,W6888465210,1995
W4233757823,W3046167466,1995
W4233757823,W2068842407,1995
W4233757823,W2071560553,1995
W4233757823,W2041665590,1995
W4233757823,W2406907407,1995
W4233757823,W2015276787,1995
W4233757823,W4236743921,1995
W4233757823,W2061916142,1995
W4233757823,W1980941804,1995
W4233757823,W1997370123,1995
W4233757823,W1977849714,1995
W4233757823,W2026793883,1995
W4233757823,W2068959787,1995
W4233757823,W4244115047,1995
W4233757823,W2120537009,1995
W4233757823,W2149095485,1995
W4233757823,W2044724418,1995
W4233757823,W2140415400,1995
W4233757823,W2056549332,1995
W4233757823,W2618814260,1995
W4233757823,W576445990,1995
W2152993231,W2000690667,1995
W2152993231,W2010769244,1995
W2152993231,W1564690864,1995
W2152993231,W2083298149,1995
W4235911537,W6628943046,1995
W4235911537,W4248958904,1995
W4235911537,W2014454714,1995
W4235911537,W1848818210,1995
W4235911537,W1939670344,1995
W4235911537,W4236743921,1995
W4235911537,W4237402756,1995
W4235911537,W4236599408,1995
W4235911537,W2165501507,1995
W4235911537,W6602178362,1995
W4235911537,W1995541717,1995
W4235911537,W4232870337,1995
W4235911537,W1988772517,1995
W4235911537,W2107110814,1995
W4235911537,W4245217443,1995
W4235911537,W6623814926,1995
W4235911537,W2183787473,1995
W4235911537,W878533668,1995
W4235911537,W1483064029,1995
W4235911537,W585544826,1995
W4235911537,W54203365,1995
W2164008124,W2110766683,1995
W2164008124,W2034736303,1995
W2164008124,W4242572228,1995
W2164008124,W2146498786,1995
W2164008124,W4248054006,1995
W2164008124,W4253536671,1995
W2164008124,W4248433086,1995
W2164008124,W2141448020,1995
W2164008124,W1988125224,1995
W2164008124,W2124294125,1995
W2164008124,W2111953939,1995
W2164008124,W2026793883,1995
W2164008124,W1980259323,1995
W2164008124,W2140415400,1995
W2164008124,W2060810539,1995
W2164008124,W2130576503,1995
W2164008124,W2112395146,1995
W2164008124,W2018859600,1995
W2164008124,W2121684952,1995
W4235311325,W2007992085,1995
W4235311325,W2030665613,1995
W4235311325,W4246406755,1995
W4235311325,W2051390054,1995
W4235311325,W1997048962,1995
W4235311325,W2089477941,1995
W4235311325,W2059075385,1995
W4235311325,W2131657873,1995
W4235311325,W1557758102,1995
W4235311325,W2103604870,1995
W4235311325,W1502886798,1995
W4235311325,W6683261257,1995
W4235311325,W1590947159,1995
W4235311325,W2019424129,1995
W4235311325,W1794751999,1995
W4235311325,W6681260765,1995
W4235311325,W6797269278,1995
W4235311325,W4230329773,1995
W4235311325,W1989016101,1995
W4235311325,W7034341735,1995
W4235311325,W1974170079,1995
W4235311325,W1977131001,1995
W4235311325,W2064866285,1995
W4235311325,W2095274413,1995
W4235311325,W19277607,1995
W4235311325,W1591331301,1995
W4235311325,W2054763478,1995
W4235311325,W6632019592,1995
W4235311325,W4233857083,1995
W4235311325,W1537061039,1995
W4235311325,W2159190202,1995
W4235311325,W3173550326,1995
W4235311325,W1505096505,1995
W4235311325,W1674066309,1995
W4235311325,W2147679264,1995
W2163073181,W2036083031,1995
W2163073181,W2041752335,1995
W2163073181,W2129192474,1995
W2163073181,W2295302168,1995
W2163073181,W2086637623,1995
W2163073181,W2135929598,1995
W2163073181,W2080568558,1995
W2163073181,W2004217976,1995
W2163073181,W2132984323,1995
W2163073181,W2911463214,1995
W2163073181,W1994406579,1995
W2163073181,W1489213177,1995
W2163073181,W2062024414,1995
W2163073181,W2086724838,1995
W2163073181,W1963930250,1995
W2145996257,W2111975408,1995
W2145996257,W2162480849,1995
W2145996257,W2074679327,1995
W2145996257,W2067166017,1995
W2145996257,W2075988877,1995
W2145996257,W2154098678,1995
W2145996257,W1981934656,1995
W2145996257,W3148339173,1995
W2145996257,W2161924627,1995
W4238211142,W2057482456,1995
W4238211142,W1990185507,1995
W4238211142,W2172137407,1995
W4238211142,W2114746181,1995
W4238211142,W2020449301,1995
W4238211142,W6638569562,1995
W4238211142,W1569214028,1995
W4238211142,W1581442026,1995
W4238211142,W7039279830,1995
W4238211142,W4244190273,1995
W4238211142,W2097721983,1995
W4238211142,W1983765456,1995
W4238211142,W2035057147,1995
W4238211142,W4251595020,1995
W4238211142,W4236801884,1995
W4238211142,W2030141794,1995
W4238211142,W2165443404,1995
W4238211142,W2043896016,1995
W4238211142,W13613824,1995
W4238211142,W2022671649,1995
W4238211142,W80704544,1995
W4238211142,W2129879687,1995
W4238211142,W1813896049,1995
W4238211142,W2057228616,1995
W4238211142,W93462258,1995
W4242550951,W2077531550,1995
W4242550951,W2561675875,1995
W2106016501,W2086724838,1995
W2106016501,W2062024414,1995
W2106016501,W2026058811,1995
W2106016501,W1600396855,1995
W2106016501,W2017366455,1995
W2106016501,W2131486261,1995
W2106016501,W1606846851,1995
W2106016501,W2295355433,1995
W2106016501,W2159763437,1995
W2106016501,W2132984323,1995
W2106016501,W2041752335,1995
W2106016501,W1994406579,1995
W2106016501,W2164449288,1995
W2106016501,W2091665017,1995
W2106016501,W2152328854,1995
W2106016501,W2038122417,1995
W2106016501,W381232490,1995
W2106016501,W2119231080,1995
W2106016501,W2156343066,1995
W2106016501,W2085224306,1995
W4249906271,W2164449288,1995
W4249906271,W4238430776,1995
W4249906271,W2166314747,1995
W4249906271,W4250955658,1995
W4249906271,W2111273689,1995
W4249906271,W1978451268,1995
W4249906271,W2154410785,1995
W4249906271,W4232019315,1995
W4249906271,W2107002723,1995
W4249906271,W2126521141,1995
W4249906271,W2119231080,1995
W4249906271,W2103504761,1995
W4249906271,W192761727,1995
W4249906271,W1996790570,1995
W4249906271,W2122585444,1995
W2100506742,W2137812155,1995
W2100506742,W2034070517,1995
W2100506742,W2073470731,1995
W2100506742,W1509237628,1995
W2100506742,W2137833347,1995
W2100506742,W2107666439,1995
W2100506742,W2165644470,1995
W2116680597,W2125497072,1995
W2116680597,W2072030841,1995
W2116680597,W2119231080,1995
W2116680597,W2050289275,1995
W2116680597,W2044300830,1995
W2116680597,W2229412420,1995
W2116680597,W2156406284,1995
W2116680597,W2611234013,1995
W2116680597,W2155399968,1995
W2116680597,W1964146588,1995
W2116680597,W2094416863,1995
W2116680597,W2984670962,1995
W2116680597,W2029185265,1995
W2116680597,W2109375686,1995
W2116680597,W2067420408,1995
W2116680597,W2067164770,1995
W2116680597,W1501418839,1995
W2116680597,W2017934685,1995
W4235231243,W4236083265,1995
W4235231243,W4242926086,1995
W4235231243,W2085836993,1995
W4235231243,W4233223625,1995
W4235231243,W2056363605,1995
W4235231243,W4246881331,1995
W4235231243,W2074589841,1995
W4235231243,W2506781905,1995
W4214876992,W4256547678,1995
W4214876992,W2091665017,1995
W4214876992,W4232313931,1995
W4214876992,W2132984323,1995
W4214876992,W4256596898,1995
W4214876992,W3003181218,1995
W4214876992,W2050576295,1995
W4214876992,W4230163235,1995
W4214876992,W2078203941,1995
W4214876992,W4256555983,1995
W4214876992,W1996021349,1995
W4214876992,W2911463214,1995
W4214876992,W2168425508,1995
W4214876992,W2102100655,1995
W4214876992,W4300929448,1995
W4251618144,W2060856474,1995
W4251618144,W2064866285,1995
W4251618144,W4246272943,1995
W4251618144,W3004076791,1995
W4251618144,W2126580042,1995
W4251618144,W2116894818,1995
W4251618144,W2063125200,1995
W4251618144,W2112074221,1995
W4251618144,W1999468279,1995
W4251618144,W4254939003,1995
W4251618144,W2048815938,1995
W4251618144,W2147737730,1995
W4251618144,W2169122860,1995
W4251618144,W2146945987,1995
W4251618144,W1966623440,1995
W4241550040,W4234476136,1995
W4241550040,W4246881331,1995
W4241550040,W2016790664,1995
W4241550040,W4254043703,1995
W4241550040,W6700479383,1995
W4241550040,W2320228884,1995
W4241550040,W4213233865,1995
W4233881202,W4255692800,1995
W4233881202,W4242253078,1995
W4233881202,W4250305371,1995
W4233881202,W4247110399,1995
W4233881202,W4242628327,1995
W4233881202,W4242123375,1995
W2107938227,W2039180386,1995
W2107938227,W2295355433,1995
W2107938227,W2135879701,1995
W2107938227,W3000042338,1995
W2107938227,W2055301793,1995
W2107938227,W2107002723,1995
W2107938227,W2126521141,1995
W2107938227,W1996790570,1995
W2107938227,W2062422081,1995
W2107938227,W2119231080,1995
W2107938227,W2142499637,1995
W2107938227,W2166314747,1995
W2107938227,W2159887832,1995
W2107938227,W1996669827,1995
W2107938227,W147723833,1995
W2107938227,W2116058539,1995
W2107938227,W2033764699,1995
W2107938227,W2117616757,1995
W2107938227,W2126485681,1995
W4245386255,W4240558544,1995
W4245386255,W4233285401,1995
W4245386255,W2120520774,1995
W4245386255,W2103352588,1995
W4245386255,W1593009884,1995
W4245386255,W2030428580,1995
W4245386255,W4231311245,1995
W4245386255,W2163422381,1995
W4245386255,W3112319680,1995
W4245386255,W2110891522,1995
W4245386255,W2049794634,1995
W4245386255,W4230861984,1995
W4245386255,W2140891053,1995
W4245386255,W4213233865,1995
W4245386255,W4252345918,1995
W4245386255,W2025320861,1995
W4245386255,W614658540,1995
W4245386255,W1600329259,1995
W4245386255,W2769043187,1995
W4245386255,W226196830,1995
W4231573989,W1541559353,1995
W4231573989,W1985072569,1995
W4231573989,W1994404660,1995
W4231573989,W1981128293,1995
W4231573989,W2063125200,1995
W4231573989,W2140415400,1995
W4231573989,W2734369608,1995
W4231573989,W2027632176,1995
W4236158674,W2119231080,1995
W4236158674,W4233857083,1995
W4236158674,W2141247501,1995
W4236158674,W2002402223,1995
W4236158674,W2063068378,1995
W4236158674,W2144909841,1995
W4236158674,W2002945353,1995
W4236158674,W2295355433,1995
W4236158674,W2035736092,1995
W4236158674,W4237648096,1995
W4236158674,W2054561071,1995
W4236158674,W2114709034,1995
W1521533704,W2144736368,1995
W1521533704,W2012477691,1995
W1521533704,W1487936637,1995
W1521533704,W3022594171,1995
W1521533704,W2057600146,1995
W1521533704,W2123453454,1995
W1521533704,W2083790008,1995
W1521533704,W42128629,1995
W2100309672,W2077014479,1995
W2100309672,W2295264765,1995
W2100309672,W2037226982,1995
W2100309672,W1988449694,1995
W2100309672,W2121735375,1995
W2100309672,W2085536058,1995
W2100309672,W2150874632,1995
W2100309672,W2092640130,1995
W2100309672,W2295355433,1995
W2100309672,W2134272728,1995
W2100309672,W2107666439,1995
W2100309672,W2079380280,1995
W2100309672,W2295835196,1995
W2100309672,W2293779956,1995
W2100309672,W1978073473,1995
W2100309672,W2131138915,1995
W2100309672,W2160946550,1995
W2165401058,W1753524162,1995
W2165401058,W2100087065,1995
W2165401058,W1996790570,1995
W2165401058,W1978600082,1995
W2165401058,W2121979170,1995
W2165401058,W2229412420,1995
W2165401058,W2126521141,1995
W2165401058,W2159763437,1995
W2165401058,W3163113245,1995
W2165401058,W2295355433,1995
W2165401058,W2107002723,1995
W2165401058,W2101192953,1995
W2165401058,W2110224141,1995
W2165401058,W2029579328,1995
W2165401058,W2142499637,1995
W2165401058,W2096482875,1995
W2165401058,W171806165,1995
W2165401058,W2082246999,1995
W2165401058,W3160104214,1995
W2165401058,W2156343066,1995
W2165401058,W2999068457,1995
W2165401058,W2166314747,1995
W2165401058,W1974880270,1995
W2165401058,W2078290150,1995
W2165401058,W2008581147,1995
W4254368221,W4245628801,1995
W4254368221,W4239607958,1995
W4254368221,W2043896016,1995
W4254368221,W2116948053,1995
W4254368221,W2294494167,1995
W4254368221,W2142499637,1995
W4254368221,W4248940208,1995
W4254368221,W2146945987,1995
W4254368221,W2293779956,1995
W4254368221,W4233857083,1995
W4254368221,W2295355433,1995
W4254368221,W2059029870,1995
W4252472948,W6674364309,1995
W4252472948,W1972969203,1995
W4252472948,W2044853203,1995
W4252472948,W2037556926,1995
W4252472948,W2561046535,1995
W4252472948,W2094789947,1995
W4252472948,W7371413,1995
W2146224627,W2043896016,1995
W2146224627,W2035736092,1995
W2146224627,W2057203440,1995
W2146224627,W2229412420,1995
W2146224627,W2121801675,1995
W2110517841,W2142499637,1995
W2110517841,W2156343066,1995
W2110517841,W2126521141,1995
W2110517841,W2119231080,1995
W2110517841,W2055301793,1995
W2110517841,W1515099178,1995
W2110517841,W1999468279,1995
W2110517841,W2100087065,1995
W2110517841,W2107002723,1995
W2110517841,W2113078208,1995
W2110517841,W2098252363,1995
W2110517841,W2999068457,1995
W4234760559,W6636800860,1995
W4234760559,W2468214059,1995
W4234760559,W4254939003,1995
W4234760559,W2056363605,1995
W4234760559,W2058291496,1995
W4234760559,W2063815520,1995
W4234760559,W2109532549,1995
W4234760559,W2035050773,1995
W4234760559,W4248007165,1995
W4234760559,W2058372750,1995
W4234760559,W2074589841,1995
W4234760559,W2332499110,1995
W4234760559,W2039601947,1995
W4234760559,W2068609248,1995
W4234760559,W1644340079,1995
W4234760559,W1986084035,1995
W4231087268,W2493300754,1995
W4252221791,W2047923802,1995
W4252221791,W2016806726,1995
W2149042946,W2075828098,1995
W2149042946,W2859589,1995
W2149042946,W2019975190,1995
W2149042946,W3146910,1995
W2149042946,W2045629761,1995
W2149042946,W2079059625,1995
W2149042946,W2040563289,1995
W4248807401,W2984140258,1995
W4248807401,W4231311245,1995
W4248807401,W1977150168,1995
W4248807401,W4238957295,1995
W4248807401,W4255692800,1995
W4248807401,W2121155062,1995
W4248807401,W1978841917,1995
W4248807401,W2106588364,1995
W4248807401,W4248888179,1995
W4248807401,W2541915565,1995
W4248807401,W2147846431,1995
W4248807401,W2064751934,1995
W4248807401,W4246423046,1995
W4248807401,W2069303979,1995
W4248807401,W4250305371,1995
W4248807401,W2158783235,1995
W4248807401,W4239974699,1995
W4248807401,W1578301860,1995
W4248807401,W2050215134,1995
W4248807401,W4247713680,1995
W4248807401,W1515686600,1995
W4248807401,W4390565523,1995
W4248807401,W4299298909,1995
W2141760871,W2019371425,1995
W2141760871,W2055274873,1995
W2141760871,W2126451479,1995
W2141760871,W2141272988,1995
W2141760871,W615749748,1995
W2141760871,W2120053782,1995
W2141760871,W1990764890,1995
W2141760871,W141651791,1995
W2141760871,W4213249041,1995
W2141760871,W4214574935,1995
W2141760871,W2082735381,1995
W2141760871,W1529253181,1995
W2141760871,W2966755844,1995
W2141760871,W2015961172,1995
W2141760871,W274348663,1995
W2141760871,W4214894841,1995
W2141760871,W1845665419,1995
W2141760871,W1573562573,1995
W2141760871,W2324592753,1995
W2141760871,W3046015686,1995
W2141760871,W2045403074,1995
W2141760871,W2512731158,1995
W2141760871,W2799261116,1995
W2141760871,W2042765002,1995
W2141760871,W1480875909,1995
W2141760871,W4285719527,1995
