source,target,source_year
W2137173216,W2032030953,1994
W2137173216,W2037226982,1994
W2137173216,W1991859109,1994
W2137173216,W2061323261,1994
W2137173216,W1594368792,1994
W2137173216,W2036345186,1994
W2137173216,W2144909841,1994
W2137173216,W170788016,1994
W2137173216,W1521362546,1994
W2137173216,W2074671888,1994
W2137173216,W1560070119,1994
W2137173216,W1575184221,1994
W2137173216,W2030503807,1994
W4248958904,W2132881639,1994
W4248958904,W3026410610,1994
W4248958904,W4244039608,1994
W4248958904,W1981674427,1994
W4248958904,W4244543066,1994
W4248958904,W1553074388,1994
W4248958904,W4211265583,1994
W4248958904,W4242572228,1994
W4248958904,W4246560761,1994
W4248958904,W2111953939,1994
W4248958904,W4236365977,1994
W4248958904,W4300885858,1994
W4248958904,W2132750992,1994
W4248958904,W4230977899,1994
W4248958904,W1985456242,1994
W2067228187,W2035608892,1994
W2067228187,W2081155444,1994
W2067228187,W2157861311,1994
W2067228187,W1995033727,1994
W2067228187,W2972748662,1994
W2067228187,W1989952968,1994
W2067228187,W2918158892,1994
W2067228187,W2169528473,1994
W2067228187,W2121712111,1994
W2067228187,W2000004101,1994
W2067228187,W2506668433,1994
W2067228187,W2030175360,1994
W2067228187,W2167694665,1994
W2067228187,W2161562143,1994
W2067228187,W2102100644,1994
W2067228187,W1493220939,1994
W2067228187,W2145721047,1994
W2067228187,W2111041418,1994
W2997110958,W2053776717,1994
W2997110958,W2068707318,1994
W2997110958,W4237402756,1994
W2997110958,W2140415400,1994
W2997110958,W2150874632,1994
W2997110958,W4205810926,1994
W2997110958,W1967310439,1994
W2997110958,W4253616902,1994
W2997110958,W2089884964,1994
W2997110958,W3041520455,1994
W2997110958,W2295947439,1994
W2997110958,W1490482062,1994
W2997110958,W2127453131,1994
W2997110958,W1535517383,1994
W2997110958,W2108684644,1994
W2997110958,W4285719527,1994
W2997110958,W4296225958,1994
W2997110958,W2127983067,1994
W2997110958,W2058462165,1994
W2997110958,W3141802282,1994
W4256596898,W2157494358,1994
W4256596898,W4232019315,1994
W4256596898,W2119231080,1994
W4256596898,W4233857083,1994
W4256596898,W1987278426,1994
W4256596898,W2058585388,1994
W4256596898,W2999068457,1994
W4256596898,W1753524162,1994
W4256596898,W1980670965,1994
W4256596898,W4254180709,1994
W4256596898,W2125178187,1994
W4256596898,W1508936657,1994
W4256596898,W2109521093,1994
W4256596898,W4247537352,1994
W4256596898,W1937873146,1994
W2140037506,W1974571535,1994
W2140037506,W2131275470,1994
W2140037506,W2043896016,1994
W2140037506,W2033034731,1994
W2140037506,W2229412420,1994
W2140037506,W2997144757,1994
W2140037506,W2913772345,1994
W2140037506,W2109427741,1994
W2140037506,W2133493855,1994
W2140037506,W1821419925,1994
W2140037506,W2121801675,1994
W2140037506,W1989952968,1994
W2140037506,W2096482875,1994
W2140037506,W2141448020,1994
W2140037506,W162475756,1994
W2121353044,W2106073588,1994
W2121353044,W1985266065,1994
W2121353044,W1753524162,1994
W2121353044,W2000980965,1994
W2121353044,W577647189,1994
W2121353044,W2229412420,1994
W1978073473,W2294130413,1994
W1978073473,W2117616757,1994
W1978073473,W1490482062,1994
W1978073473,W2030245101,1994
W1978073473,W2100350068,1994
W1978073473,W2107666439,1994
W1978073473,W85028940,1994
W1978073473,W2125638038,1994
W1978073473,W2092640130,1994
W1978073473,W2160946550,1994
W1978073473,W2172049659,1994
W1978073473,W2037226982,1994
W4245628801,W1990621116,1994
W4245628801,W2096482875,1994
W4245628801,W2089725657,1994
W4245628801,W4230163235,1994
W4245628801,W4232465159,1994
W4245628801,W4229863912,1994
W4245628801,W2064866285,1994
W4245628801,W4248940208,1994
W4245628801,W1975328230,1994
W4245628801,W2913772345,1994
W4245628801,W2050995940,1994
W4245628801,W4233857083,1994
W4245628801,W2003938193,1994
W4245628801,W2046250219,1994
W2168256496,W2090119071,1994
W2168256496,W2080357398,1994
W2168256496,W2229412420,1994
W2168256496,W2130037047,1994
W2168256496,W2130037767,1994
W2168256496,W2079919834,1994
W2168256496,W1979460674,1994
W2168256496,W2076913963,1994
W2168256496,W2117616757,1994
W2168256496,W2151228210,1994
W2168256496,W2126521141,1994
W2168256496,W1532701078,1994
W2168256496,W2039180386,1994
W2168256496,W1504298997,1994
W2168256496,W2986047257,1994
W2168256496,W1715800926,1994
W2168256496,W1994045646,1994
W2168256496,W2025364449,1994
W2168256496,W2069537876,1994
W2168256496,W1503521812,1994
W2168256496,W2119231080,1994
W4246881331,W1507889901,1994
W4246881331,W2023376119,1994
W4246881331,W2085836993,1994
W4246881331,W2062267302,1994
W4246881331,W2074589841,1994
W4246881331,W2024251976,1994
W4246881331,W4235811007,1994
W4246881331,W4242926086,1994
W4246881331,W2125638038,1994
W4246881331,W2147913323,1994
W4246881331,W2031165479,1994
W4246881331,W2320228884,1994
W4246881331,W6625222864,1994
W4246881331,W1986084035,1994
W4246881331,W2146150033,1994
W4246881331,W1982883529,1994
W4246881331,W4213233865,1994
W4246881331,W2098511623,1994
W4246881331,W959653777,1994
W2158897662,W2111041418,1994
W2158897662,W2027085107,1994
W2158897662,W1612551514,1994
