x_tsne,y_tsne
-23.09479,10.891302
25.372614,7.91554
2.3878417,21.269701
4.522028,18.699757
4.5968847,23.977148
17.985044,-13.551221
26.933603,-2.25662
10.096014,23.370909
-15.2769165,9.643786
-12.820005,12.711967
-5.8064475,14.888365
-0.104406044,13.304931
34.55464,-6.114342
26.282413,-4.7538056
39.29622,4.3568926
2.4783802,-3.1389873
4.1708617,20.90319
24.83073,-23.08181
39.786236,1.425912
-4.8116245,-5.2503858
31.000797,9.596907
23.980757,13.902714
12.384379,-0.60313493
22.86018,-10.471443
-1.2097552,9.846797
-3.850586,11.180822
37.62156,-4.7638693
31.173553,-10.187309
35.64232,-3.6261826
-3.185558,13.875157
34.476467,7.941923
6.311581,-8.752174
-8.765403,12.07644
27.879637,-5.1961303
8.075825,-35.466187
-16.090887,2.7372217
31.786968,-16.179401
3.5113926,9.170508
-22.92937,0.25255898
4.864386,2.089277
6.898058,21.512465
-20.185577,2.9503937
6.2594666,15.229523
35.492485,2.2074668
2.7941055,18.705902
2.87011,1.6398165
-26.984108,-4.83517
13.859446,12.731067
-32.632736,1.4413711
46.11627,2.6324704
-38.766014,15.43016
-21.806742,24.371792
-12.647492,-3.7932103
-24.392782,18.301174
-38.582874,6.682084
-38.519295,-1.1597631
0.18902771,-8.189455
-43.761417,23.643032
-45.92831,13.406997
-43.79212,19.309076
-44.02458,25.020227
-41.651047,16.30976
-39.61817,21.884521
-46.00904,2.3067443
-42.30571,-8.280748
-42.568295,21.038832
-25.267437,26.070835
45.123653,-1.4722596
-38.8004,3.4906907
-42.442005,4.1511426
-33.007507,-8.880616
-43.507557,18.270447
17.452902,-10.108318
7.7176366,-19.011015
19.877352,-13.289654
-10.298481,-7.62553
3.2517564,-29.08428
-8.2332535,1.8983489
7.813428,-10.227667
-2.9941087,-10.711317
-0.43190157,-27.447983
30.060072,-0.79774004
-16.011927,-14.43283
17.246271,-5.0966268
0.5275428,-17.269804
10.978682,8.300988
21.599953,5.6269875
10.468909,-22.327345
-14.118871,8.081115
5.996712,21.041052
2.842173,-15.419128
-11.216645,-17.968428
4.658424,-23.193247
6.69558,-15.939354
6.5903196,-3.8939717
7.297543,-13.501928
16.555195,13.679336
8.118856,4.623931
-0.03066705,-31.779583
-0.8531392,-22.061583
0.5797584,-12.179608
18.986135,-5.5683303
-10.061768,-2.7866516
-11.141153,27.19808
1.8826817,10.760728
13.605642,-8.788595
18.947979,10.433744
1.364215,5.540384
10.463033,-13.625824
-47.40555,3.49576
-24.979092,-3.7381852
35.897404,10.112175
-43.292377,0.6671166
-8.328102,-6.212549
32.97178,8.643558
28.546402,4.6348157
-13.502581,10.642885
13.515199,-20.251072
26.718971,21.811876
16.702942,19.552515
-42.771763,-3.3224578
-29.329166,-16.036901
25.191141,10.805889
17.67292,9.888829
