x_tsne,y_tsne
13.003919,2.918306
13.465422,2.4220586
12.8935,1.7947227
12.610753,2.4834104
14.25451,1.3397648
14.191724,2.7828953
13.551481,1.624395
14.365689,3.429273
13.612069,3.384602
15.136343,1.7939012
4.40308,0.4352126
14.347441,1.9913416
-4.532803,7.5217338
2.2800136,11.690417
-12.302579,-5.462109
-2.4312904,8.839213
-3.351027,7.4308968
0.41249132,16.415512
15.448175,-2.76956
6.9605875,10.772163
12.772769,-5.9726186
-6.047275,8.623174
3.5299075,11.856112
8.203259,-2.7832732
-11.41061,-6.097122
10.806915,-11.300494
13.178015,-2.1771553
13.3851385,-1.1059003
14.908952,2.8750296
0.10631186,14.878936
-7.106355,7.624494
9.32349,-5.9651275
5.6959248,10.796268
2.8677578,-1.687101
-10.3082485,-7.665907
-12.531231,-4.377377
-0.4810567,-2.7709382
14.491087,5.373574
-0.9560629,11.641216
5.6324816,5.811367
16.976261,0.68300456
3.3554666,1.4852428
0.4872018,-5.328286
-7.490634,6.9308476
7.3678303,9.2865305
10.482115,0.7943479
12.650164,4.751529
-3.9724576,10.43898
5.959586,12.878406
-0.43450487,6.1877975
-7.698587,7.9005637
3.1839316,8.270941
2.5779855,9.513977
0.50846386,9.030345
-10.719856,-2.8952878
14.17381,-0.9674439
-8.74677,-1.5897372
0.601166,4.3406463
7.097228,7.0195384
3.9842823,10.263245
2.7198794,10.325909
6.045599,-8.571208
3.3408751,11.043398
3.9748123,0.6827428
16.617588,5.601008
4.5115585,2.4285586
0.65443015,10.297524
-1.2877989,9.161755
-1.3762575,7.3250866
3.3937168,2.5695896
10.915485,3.17954
7.39138,8.74143
-0.8910538,-7.93073
7.003057,-9.935744
6.3589287,-9.038187
3.687065,12.913817
15.877718,4.969319
10.789666,-3.5749657
-3.616383,0.14131254
0.26282933,-2.909409
-6.7191615,-0.580556
16.625128,-2.7832172
-5.6876345,11.520302
-1.2132851,-3.9141047
-1.0438149,-7.5827837
-3.2351677,-6.032436
-4.373856,-4.7475505
-8.44879,-2.8250453
-7.464507,-10.92423
-5.2355027,-10.532658
-5.0745873,-1.8527615
-2.3402083,-10.726644
-8.804267,-5.3259306
-5.984795,-11.135249
-5.15097,-11.666951
-4.0421886,-9.341357
-10.001066,-9.737779
-11.483067,-0.78799
16.61108,3.1007824
-3.6391888,-5.4962993
-6.127399,-5.5057654
0.08565656,14.913569
-7.948688,-2.7234073
-7.2007346,-1.0861728
3.000323,-1.5565624
4.8168654,9.570811
-1.1651762,7.0297375
16.592974,-2.8053563
-0.49845773,9.927438
4.894571,0.6687253
12.626577,-6.1285176
1.7336575,11.490315
4.108498,1.7252792
-11.052609,-3.0876436
0.6490451,9.66294
8.057591,-2.917617
4.5017133,10.669239
0.5703446,4.2071643
4.317841,9.570799
5.9481606,12.855524
13.277896,-1.279159
7.057125,10.829427
-5.6063166,11.561314
-9.402481,-3.2685082
-2.2207224,-10.766253
-11.334511,-1.4958678
-1.2905176,-4.1276107
-2.9656935,-10.362023
-6.11143,-11.340054
-7.7546887,-10.425097
-0.71393347,-6.4849973
-7.5242896,-5.448558
12.347179,-6.4167995
-11.427333,-2.8967273
4.362678,9.647055
3.176084,2.0164347
5.557783,5.6850085
-4.9221873,12.209301
0.40115035,16.58438
-8.4156275,8.121004
-2.0210936,6.904431
-8.789561,-8.656109
-9.537457,-7.557661
-4.986783,-8.489019
-5.816883,-3.8631074
-1.7392987,-4.1954784
-8.619751,-9.040054
-1.7625027,-11.031887
-5.183107,-8.459157
-7.9734087,-7.1836576
-6.335927,-9.073053
-3.985425,7.396673
2.1149638,0.8393242
2.3788366,-0.026922936
10.095255,-4.7358913
10.79446,-11.303043
-8.986285,-4.3391094
-4.871539,-4.456162
-2.5282655,-0.501196
-0.08875597,10.663248
-5.4874034,-1.1855222
-3.9796207,10.653362
-1.8233583,11.686352
8.021443,-3.9162688
0.6676328,-5.336133
0.13959332,3.3552632
-5.9286923,-6.063236
-3.066901,-0.5028041
1.2893978,0.88617676
-10.254165,-3.9733808
2.259601,2.4833095
2.3467693,-1.2570252
0.09668495,3.4346173
10.1262245,-4.379222
7.542277,-3.8308794
9.851155,-4.5769234
5.945766,-8.502395
-1.8436121,11.739413
7.8787694,-3.9942567
-7.759648,-3.8657243
-8.32781,8.056585
10.9590845,-5.272717
12.580486,-1.7154067
-5.400479,-8.884138
-2.8308697,-0.7330246
-9.561834,-7.555286
11.631349,-6.0616846
-2.6845155,8.879681
-4.96667,12.7028
-2.6878111,-0.08019647
-7.6915092,-3.7519245
-1.9252912,10.102782
-5.9589953,-5.9806447
