x_tsne,y_tsne
-0.6593711,6.318857
-2.1147883,-6.894203
-2.9821372,-9.816512
1.9862195,-4.298311
-3.061661,-0.37583897
-5.233773,-5.381528
-4.926164,-1.3319701
-1.0992113,5.102297
-2.2480989,-2.5637429
1.8055602,3.5698779
-5.230829,5.56415
-2.7164614,-10.0446825
-6.691402,-6.530732
0.11029214,0.2772995
-6.668871,-11.928968
-5.860064,-8.257903
-0.70547724,-1.4678429
-3.9757905,-3.495632
0.109286174,-9.983904
-4.3916783,-1.3106716
-9.230195,-7.0892687
2.732301,4.0432024
-6.1513357,-7.8169866
3.223883,1.2461631
3.4134798,-3.266487
-7.0181036,-4.2596517
2.8012228,-10.28637
-2.120516,-10.805565
-6.091283,0.99146575
-1.627666,-2.9151127
0.32141358,-11.391282
-7.422355,-6.812089
-6.38149,3.0917788
3.9412029,-6.7681704
-9.1907425,-0.61201984
-8.237764,-10.573562
-4.2425146,-11.989378
0.052230574,2.4577088
3.5183215,-5.325747
3.3989813,0.7835364
-1.5569898,3.479355
7.7193737,-7.431599
-3.4287412,3.255739
-8.534891,-0.25701
3.3141448,-9.873164
7.1207876,-2.4957569
-2.0351963,2.0110147
-1.9362372,1.1590302
-1.4647965,0.2584752
2.2171116,1.8172858
4.5109615,-10.562647
1.0305094,-6.704343
0.70272416,-7.6682878
4.583713,-5.962486
-5.4901066,2.8150887
0.7863761,4.687378
-4.667459,-4.054704
3.4468699,0.38152474
-4.302861,-3.3688571
-4.690074,3.2951493
-6.158037,0.550901
-8.738571,-0.5923683
-3.1230998,-0.46430665
-2.0356348,-10.622349
-5.05976,-3.7465656
-1.4936088,4.281382
-6.7070594,-11.866026
-5.8791466,3.3532963
-4.577781,2.8825567
2.0442371,3.0747635
1.1587672,-5.9576926
1.0454046,-3.8711905
-6.825131,-4.2646413
-1.4003353,-6.4257665
-9.476211,-1.0073525
0.021024944,2.3307896
-1.4580551,-3.9776843
-3.4062707,-4.366059
-0.4358433,0.084545106
-2.929771,5.174958
-4.1926265,-5.668489
-5.4901776,1.0186167
-6.4444585,-12.175732
-2.6529837,4.8549824
1.1359626,-5.915269
-1.3386456,-6.4769964
-0.89263874,-3.797783
3.4340005,-7.453735
-3.4954994,-5.111745
-0.38911757,-1.5212034
-5.2297316,5.756475
-3.5631897,4.465422
1.0086857,-4.3173633
-2.1462364,5.567485
3.6499717,-7.465374
1.4207853,-3.8268676
3.7966564,-9.291278
-0.03322883,-3.8734937
-3.7860296,-5.103244
7.123655,-2.4973078
3.8243308,-8.429959
-3.2139304,4.2616982
4.6800647,-10.426821
7.723627,-7.4242396
