source,target,source_year
W3141392912,W6634948141,2002
W3141392912,W3112319680,2002
W3141392912,W2138987052,2002
W3141392912,W1530341628,2002
W3141392912,W4253323127,2002
W3141392912,W2014475906,2002
W3141392912,W2028345935,2002
W3141392912,W1585297471,2002
W2171897506,W2056220869,2002
W2171897506,W178139908,2002
W2171897506,W35396204,2002
W2171897506,W2161070121,2002
W2171897506,W1802459088,2002
W2171897506,W1996577481,2002
W2171897506,W2075264427,2002
W2171897506,W1976721241,2002
W2171897506,W2142704880,2002
W2171897506,W1995503581,2002
W2171897506,W2056145873,2002
W2171897506,W3140927819,2002
W2171897506,W1978226270,2002
W2171897506,W2147545324,2002
W2171897506,W2075682391,2002
W2120675156,W2161768349,2002
W2120675156,W2987443893,2002
W2120675156,W2148321452,2002
W2120675156,W1530505946,2002
W2120675156,W2093635516,2002
W2120675156,W1528577414,2002
W2143275883,W2120973494,2002
W2143275883,W2626313283,2002
W2143275883,W2103532806,2002
W2143275883,W2018246367,2002
W2143275883,W2170100090,2002
W2143275883,W20767718,2002
W2143275883,W2127983067,2002
W2143275883,W1516293359,2002
W2143275883,W2140415400,2002
W2143275883,W2132881639,2002
W2143275883,W1965014786,2002
W2143275883,W2154046714,2002
W2143275883,W2123736108,2002
W2143275883,W2122323950,2002
W2143275883,W2164008124,2002
W2143275883,W2580812415,2002
W2143275883,W1810311117,2002
W2143275883,W13024833,2002
W2143275883,W2038142291,2002
W2143275883,W3139399400,2002
W2143275883,W2959214841,2002
W2143275883,W1755209849,2002
W2143275883,W1996136679,2002
W2143275883,W1588957466,2002
W2112871220,W2539415427,2002
W2112871220,W3140955151,2002
W2112871220,W3149522800,2002
W2112871220,W3146052257,2002
W2112871220,W2138707442,2002
W2112871220,W2052749348,2002
W2112871220,W1561797603,2002
W2112871220,W171769125,2002
W2112871220,W2164191390,2002
W2112871220,W3097169496,2002
W2112871220,W2235901111,2002
W2112871220,W2293404936,2002
W2112871220,W2043242530,2002
W2112871220,W2137783639,2002
W2112871220,W2039689486,2002
W2112871220,W2981264952,2002
W2112871220,W2144083240,2002
W2112871220,W2120645069,2002
W2112871220,W2089866148,2002
W2112871220,W1996819948,2002
W2096048786,W2119231080,2002
W2096048786,W2103210990,2002
W2096048786,W2122572959,2002
W2096048786,W2156343066,2002
W2096048786,W2026058811,2002
W2096048786,W2009139756,2002
W2096048786,W2092585227,2002
W2096048786,W2150162658,2002
W2096048786,W1969962349,2002
W2096048786,W1972824939,2002
W2096048786,W1971071758,2002
W2096048786,W2171733806,2002
W2096048786,W2069238584,2002
W2096048786,W2138867322,2002
W2096048786,W2158842967,2002
W2096048786,W2155276967,2002
W2096048786,W2123445511,2002
W2096048786,W2103796071,2002
W2096048786,W2153648842,2002
W2096048786,W3151277139,2002
W2096048786,W3141250523,2002
W2096048786,W2111860840,2002
W2096048786,W2070571659,2002
W2096048786,W2133229881,2002
W2096048786,W3149585701,2002
W2096048786,W2111794246,2002
W2096048786,W3148132856,2002
W2096048786,W2071516467,2002
W2096048786,W2119752738,2002
W2096048786,W2537560154,2002
W2096048786,W1998951969,2002
W2096048786,W2085938780,2002
W2096048786,W1974880270,2002
W2096048786,W3149422877,2002
W2096048786,W2107002723,2002
W2096048786,W2030245101,2002
W2096048786,W2132385550,2002
W2096048786,W2000420817,2002
W2096048786,W2164881457,2002
W2096048786,W2159763437,2002
W2096048786,W2108682302,2002
W2096048786,W3141640764,2002
W2096048786,W3145994861,2002
W2096048786,W2028798132,2002
W2096048786,W2126521141,2002
W3144058794,W2077389465,2002
W3144058794,W2025095868,2002
W3144058794,W2541915565,2002
W3144058794,W2158783235,2002
W3144058794,W2148511263,2002
W3144058794,W6601110548,2002
W3144058794,W2913872186,2002
W3144058794,W4242788393,2002
W3144058794,W4250095224,2002
W3144058794,W4299848736,2002
W3144058794,W26643119,2002
W3147868835,W2098914003,2002
W3147868835,W1977758817,2002
W3147868835,W4239607958,2002
W3147868835,W4233857083,2002
W3147868835,W2100816864,2002
W2121322496,W1516293359,2002
W2121322496,W1710511026,2002
W2121322496,W2086050593,2002
W2121322496,W2161581092,2002
W2121322496,W35396204,2002
W2121322496,W2132938386,2002
W2121322496,W2008018276,2002
W2121322496,W3141454743,2002
W2121322496,W3041834803,2002
W2121322496,W2055492127,2002
W2121322496,W2121932969,2002
W2121322496,W1503481915,2002
W2121322496,W2106588364,2002
W2121322496,W2022179164,2002
W2129671512,W1553376466,2002
W2129671512,W2027644430,2002
W2129671512,W2165343272,2002
W2129671512,W2002945353,2002
W2129671512,W2155729921,2002
W2129671512,W2126816902,2002
W2129671512,W2142636632,2002
W2129671512,W3142743534,2002
W2129671512,W2155199573,2002
W2129671512,W2135368961,2002
W2129671512,W1989480677,2002
W2129671512,W2113634802,2002
W2129671512,W2087158685,2002
W2129671512,W2064866285,2002
W2129671512,W3150094105,2002
W2129671512,W1514206621,2002
W2129671512,W2129652681,2002
W2129671512,W2028834502,2002
W2129671512,W2006502673,2002
W2129671512,W2052366742,2002
W2129671512,W2229412420,2002
W2129671512,W1976373652,2002
W2129671512,W2006714486,2002
W2129671512,W2156210116,2002
W2129671512,W2106132251,2002
W2129671512,W1994165052,2002
W2129671512,W1603089724,2002
W2129671512,W2164903251,2002
W2129671512,W2080559329,2002
W2129671512,W1517141339,2002
W2129671512,W55726211,2002
W2129671512,W2293644818,2002
W2129671512,W2238788188,2002
W2129671512,W2165566559,2002
W2129671512,W2073633983,2002
W2129671512,W1590549688,2002
W2129671512,W2158987597,2002
W2129671512,W2079017595,2002
W2087702673,W1645106905,2002
W2087702673,W2002010034,2002
W2087702673,W2008347373,2002
W2087702673,W98769269,2002
W2087702673,W2103352588,2002
W2087702673,W2096274905,2002
W2087702673,W2751023760,2002
W2087702673,W2075077984,2002
W2087702673,W1870211974,2002
W2087702673,W2139828242,2002
W2087702673,W2130657708,2002
W3150414374,W2124404145,2002
W3150414374,W2116707521,2002
W3150414374,W2097246665,2002
W3150414374,W2075825658,2002
W3150414374,W2154725200,2002
W3150414374,W1990913800,2002
W3150414374,W2250107905,2002
W3150414374,W2032969936,2002
W3150414374,W2130470231,2002
W3150414374,W6601333395,2002
W3150414374,W2086211692,2002
W3150414374,W2151406969,2002
W3150414374,W2080528912,2002
W3150414374,W2139796514,2002
W3150414374,W4232201360,2002
W3150414374,W2134921160,2002
W3150414374,W2079059594,2002
W3150414374,W2131283235,2002
W3150414374,W2134756023,2002
W3150414374,W6634914192,2002
W3150414374,W2111501452,2002
W3150414374,W2075010828,2002
W3150414374,W1976584051,2002
W3150414374,W2074981114,2002
W3150414374,W2341600683,2002
W3150414374,W32616165,2002
W3150414374,W1582821823,2002
W3141892842,W2034295498,2002
W3141892842,W4247730801,2002
W3141892842,W4244115047,2002
W3141892842,W2088880009,2002
W3141892842,W2021592094,2002
W3141892842,W3144824943,2002
W3141892842,W3149702595,2002
W3150644761,W2538431414,2002
W3150644761,W6674584710,2002
W3150644761,W1970374786,2002
W3150644761,W6652214876,2002
W3150644761,W4231311245,2002
W3150644761,W2053708742,2002
W3150644761,W6757146636,2002
W3150644761,W6713294397,2002
W3150644761,W2156595920,2002
W3150644761,W6628853536,2002
W3150644761,W2166345358,2002
W3150644761,W6690967310,2002
W3150644761,W2248372245,2002
W3150644761,W2905300537,2002
W3150644761,W2405718706,2002
W3150644761,W1484433430,2002
W3150644761,W2008765103,2002
W2109467529,W2296231345,2002
W2109467529,W1977139370,2002
W3147856832,W3144441061,2002
W3147856832,W3147963387,2002
W3147856832,W3143624176,2002
W3147856832,W4243362499,2002
W3147856832,W6679716305,2002
W3147856832,W2164881457,2002
W3147856832,W1529746364,2002
W3147856832,W2073470731,2002
W3147856832,W2039580453,2002
W3147856832,W3149833144,2002
W3147856832,W2125638038,2002
W3147856832,W2105751430,2002
W3147856832,W2042031453,2002
W3147856832,W2149245593,2002
W3147856832,W2133638798,2002
W4241766871,W4247939848,2002
W4241766871,W1992883930,2002
W4241766871,W2999068457,2002
W4241766871,W2088135005,2002
W4241766871,W4232019315,2002
W4241766871,W6637886274,2002
W4241766871,W2060683998,2002
W4241766871,W4292169137,2002
W4241766871,W6683055849,2002
W4241766871,W2102497279,2002
W4241766871,W4243648955,2002
W4241766871,W2154918927,2002
W4241766871,W4382891143,2002
W4255459720,W2120329225,2002
W4255459720,W1973589960,2002
W4255459720,W2149482504,2002
W4255459720,W6640380507,2002
W4255459720,W6679720448,2002
W4255459720,W6601252084,2002
W4255459720,W4248888179,2002
W4255459720,W2132519371,2002
W4255459720,W2158685692,2002
W4255459720,W4302094287,2002
W4255459720,W30815646,2002
W2142640963,W2071974430,2002
W2142640963,W2008082607,2002
W2142640963,W2237155658,2002
W2142640963,W2132178624,2002
W3143028360,W3147512494,2002
W3143028360,W2136463473,2002
W3143028360,W2135103990,2002
W3143028360,W1979466864,2002
W3143028360,W2106250022,2002
W3143028360,W2159407373,2002
W3143028360,W4235415395,2002
W3143028360,W2038581532,2002
W3143028360,W2064482487,2002
W3149823826,W2118413530,2002
W3149823826,W3085563693,2002
W3149823826,W2009793402,2002
W3149823826,W2082578622,2002
W3149823826,W2070295868,2002
W3149823826,W2028300095,2002
W3149823826,W2150895788,2002
W3149823826,W1999102468,2002
W3149823826,W2110713121,2002
W3149823826,W2101132448,2002
W3149823826,W2021065582,2002
W3149823826,W2132767923,2002
W3149823826,W1976213300,2002
W3141582870,W2016790664,2002
W3141582870,W6606565297,2002
W3141582870,W2146150033,2002
W3141582870,W6683897032,2002
W3141582870,W3145047290,2002
W3141582870,W2136130672,2002
W3141582870,W2073470731,2002
W3141582870,W3150796875,2002
W3141582870,W6629486969,2002
W3141582870,W2144844599,2002
W3141582870,W4253323127,2002
W3141582870,W2019380800,2002
W3141582870,W4255461560,2002
W3141582870,W2242798320,2002
W3141582870,W1492700116,2002
W3141582870,W164970246,2002
W3141582870,W2164505054,2002
W3144561551,W2168648264,2002
W3144561551,W2113612687,2002
W3144561551,W4241702082,2002
W3144561551,W1554567767,2002
W3144561551,W1492514874,2002
W3144561551,W4242042578,2002
W3144561551,W3152460243,2002
W3144561551,W1986049249,2002
W3144561551,W6676922863,2002
W3144561551,W2037828060,2002
W3144561551,W2111298982,2002
W2102474741,W2110642625,2002
W2102474741,W1562607200,2002
W2102474741,W2035384844,2002
W2102474741,W2083702780,2002
W2102474741,W2135791896,2002
W2102474741,W2040053317,2002
W2102474741,W1482882448,2002
W2102474741,W606463737,2002
W2102474741,W2048376537,2002
W2102474741,W2150553583,2002
W2102474741,W2005806411,2002
W2102474741,W2168078737,2002
W2102474741,W1964020871,2002
W2102474741,W3141310258,2002
W2102474741,W2082910293,2002
W2102474741,W2092755522,2002
W2102474741,W3140985161,2002
W2102474741,W1571246069,2002
W2102474741,W2165875824,2002
W2102474741,W3046840260,2002
W2102474741,W1581676061,2002
W2102474741,W1507159959,2002
W2102474741,W2076471588,2002
W2102474741,W1525844458,2002
W2159009096,W35410676,2002
W2159009096,W3149376643,2002
W2159009096,W2142636632,2002
W2159009096,W1992101144,2002
W2159009096,W2152978895,2002
W2159009096,W2159249350,2002
W2159009096,W1989480677,2002
W2159009096,W2293644818,2002
W2159009096,W2166819598,2002
W2159009096,W2141658821,2002
W2159009096,W55726211,2002
W2159009096,W1986918036,2002
W2159009096,W1590549688,2002
W2159009096,W2152582190,2002
W2159009096,W1994908269,2002
W2159009096,W1484599727,2002
W2159009096,W2084584372,2002
W2159009096,W2006714486,2002
W2159009096,W2129652681,2002
W2159009096,W2135368961,2002
W2159009096,W2023661891,2002
W2159009096,W2151329844,2002
W2159009096,W2238788188,2002
W2159009096,W1990733988,2002
W2159009096,W2159441529,2002
W2159009096,W1976373652,2002
W2159009096,W2113993190,2002
W2159009096,W2162973272,2002
W2159009096,W2165566559,2002
W2159009096,W2155199573,2002
W2159009096,W2158987597,2002
W2159009096,W2073573918,2002
W2159009096,W2125228743,2002
W2159009096,W2240948833,2002
W2131106504,W1551742155,2002
W2131106504,W1766805797,2002
W2131106504,W2551191580,2002
W2131106504,W2085716148,2002
W2131106504,W2125638038,2002
W2131106504,W122875470,2002
W2131106504,W2229412420,2002
W2131106504,W2082565556,2002
W2131106504,W2126842969,2002
W2131106504,W3008422510,2002
W2131106504,W2118413530,2002
W2131106504,W1579842596,2002
W2131106504,W2083077689,2002
W2131106504,W1607345667,2002
W2131106504,W2127307450,2002
W2131106504,W1977532084,2002
W2131106504,W2118253525,2002
W3146761106,W2139239284,2002
W3146761106,W2053413474,2002
W3146761106,W6633995954,2002
W3146761106,W1524428407,2002
W3146761106,W1967803293,2002
W3146761106,W2005540596,2002
W3146761106,W2150526134,2002
W3146761106,W3145437455,2002
W3146761106,W2171790646,2002
W3146761106,W7025021386,2002
W3146761106,W1607568630,2002
W3146761106,W6676922863,2002
W3146761106,W1969566718,2002
W3146761106,W2111298982,2002
W3146761106,W45574018,2002
W3146761106,W1569662355,2002
W2109213053,W2000360595,2002
W2109213053,W2059686196,2002
W2109213053,W2136046800,2002
W2109213053,W1977758817,2002
W2109213053,W2156170648,2002
W2109213053,W2127754037,2002
W2109213053,W2119231080,2002
W2109213053,W2117383120,2002
W2109213053,W2121535648,2002
W2109213053,W2086921140,2002
W2109213053,W1507773414,2002
W2109213053,W1238092070,2002
W2109213053,W2069385985,2002
W2109213053,W2148605237,2002
W2109213053,W2083206954,2002
W2109213053,W2106073588,2002
W2109213053,W2130938974,2002
W2109213053,W3147581481,2002
W2109213053,W2026786095,2002
W2109213053,W2017917706,2002
W2109213053,W2154097358,2002
W2109213053,W1579655566,2002
W2109213053,W2518051815,2002
W2109213053,W2164213525,2002
W2109213053,W2148234126,2002
W2109213053,W2145023731,2002
W2109213053,W2156786466,2002
W2109213053,W2158905481,2002
W2109213053,W2043647324,2002
W2109213053,W2160006372,2002
W2109213053,W2078290150,2002
W2109213053,W2171094068,2002
W2109213053,W2003370853,2002
W2109213053,W2101070257,2002
W2109213053,W2131861796,2002
W2109213053,W2018534696,2002
W2109213053,W2145139316,2002
W2109213053,W2061010610,2002
W2109213053,W2036345186,2002
W2109213053,W2116334923,2002
W2109213053,W1973520631,2002
W2109213053,W2100816864,2002
W2109213053,W2006264228,2002
W2109213053,W1598934371,2002
W2109213053,W2229412420,2002
W2109213053,W2158127704,2002
W2109213053,W1552370277,2002
W2109213053,W2073371710,2002
W2109213053,W1585667180,2002
W2109213053,W1967729954,2002
W2109213053,W1994875376,2002
W2127139088,W2159441529,2002
W2127139088,W1590549688,2002
W2127139088,W2142636632,2002
W2127139088,W3147959344,2002
W2127139088,W1986918036,2002
W2127139088,W2023661891,2002
W2127139088,W2293404936,2002
W2127139088,W1519407296,2002
W2127139088,W1992101144,2002
W2127139088,W2084584372,2002
W2127139088,W3104001151,2002
W2127139088,W43719964,2002
W2127139088,W1967385755,2002
W2127139088,W1977581205,2002
W2127139088,W2011979138,2002
W2127139088,W2166819598,2002
W2127139088,W1989480677,2002
W2127139088,W3149376643,2002
