id,year,total_citations
W2159936057,2010,27
W2136011578,2006,4
W2146679896,2006,1
W2097797019,2006,5
W2171602937,2006,5
W2105912313,2006,1
W2154069299,2006,26
W2128205813,2006,7
W2115770648,2006,2
W2122964275,2006,0
W2093771294,2006,1
W2159859907,2006,5
W2295799513,2006,2
W2150415161,2006,17
W2112996167,2006,4
W2144129085,2006,0
W2103416281,2006,0
W2140276851,2006,1
W2155222639,2006,16
W2157452704,2006,0
W2102452998,2006,9
W2114882952,2006,2
W2131706088,2006,16
W2107135270,2006,4
W2142265837,2006,16
W2140700264,2006,12
W2138291113,2006,1
W2168247174,2006,4
W2148420597,2006,24
W2148715821,2006,7
W2109230659,2006,1
W2136645720,2006,9
W2154503164,2006,25
W2160564403,2006,0
W2126524240,2006,6
W2134865795,2006,4
W2107290000,2006,3
W2118627609,2006,3
W2116781100,2006,4
W2100632417,2006,4
W1574542371,2006,2
W2122412388,2006,3
W2109968850,2006,13
W2125698698,2006,0
W2129086861,2006,44
W2160583131,2006,7
W2132933030,2006,11
W2096195713,2006,2
W3112434596,2006,1
W2147394532,2006,5
W2100321998,2006,3
W2155417171,2006,7
W2131493622,2006,33
W2167490281,2006,1
W2156478224,2006,1
W2136771689,2006,10
W2137394710,2006,2
W2108896137,2006,8
W2124700014,2006,5
W2108190542,2006,6
W2167797188,2006,21
W1486615185,2006,0
W2162857739,2006,2
W2148269024,2006,7
W2132773990,2006,7
W2149827033,2006,6
W2121065592,2006,8
W2169620084,2006,5
W2148151237,2006,3
W2153431389,2006,2
W2136614128,2006,14
W2160269501,2006,2
W2161538188,2006,0
W2069798399,2006,3
W2140293566,2006,10
W2165544866,2006,15
W2067483552,2006,0
W2168543113,2006,6
W2133706996,2006,9
W2134732931,2006,2
W2132844538,2006,4
W1996908850,2006,6
W2131263624,2006,5
W2034746304,2006,4
W2098623081,2006,2
W2168498708,2006,0
W2131548207,2006,30
W2152245018,2006,21
W2098629557,2006,0
W2138350120,2006,7
W2167121457,2006,22
W2170061697,2006,11
W2145640629,2006,93
W2158378644,2006,23
W2128712108,2006,39
W2096070028,2006,21
W2001084593,2006,24
W2167306162,2006,46
W2106669190,2006,1
W2147823926,2006,20
W2134685109,2006,4
W2111421274,2006,9
W2151620113,2006,2
W2119193164,2006,10
W2020248080,2006,8
W2146279766,2006,15
W2158247504,2006,3
W2131682312,2006,2
W2097345819,2006,10
W1987522255,2006,7
W2122000670,2006,0
W1579764669,2006,1
W1607158209,2006,3
W1510645397,2006,6
W2110707424,2006,3
W2138919026,2006,0
W2117037870,2006,1
W2155052436,2006,10
W1588659438,2006,5
W2101579010,2006,2
W1481928537,2006,1
W1525921960,2006,0
W2167302705,2006,5
W2134674390,2006,3
W1569838522,2006,0
W2138362088,2006,3
W1608724638,2006,2
W1934974415,2006,2
W2104814434,2006,2
W1543577391,2006,4
W2115304611,2006,6
W1480146631,2006,6
W1520796046,2006,4
W1490855529,2006,3
W2146284469,2006,0
W2133443864,2006,0
W1490291137,2006,4
W2096575928,2006,0
W1496931487,2006,4
W1602782632,2006,3
W2167889627,2006,6
W1937495871,2006,2
W1546822656,2006,2
W2164023515,2006,0
W2099984385,2006,7
W2096141783,2006,0
W1550754177,2006,1
W1488041740,2006,6
W1582174515,2006,4
W1725473968,2006,3
W2163021939,2006,0
W2153039146,2006,40
W2056273964,2006,18
W2120573711,2005,13
W2128769229,2005,20
W2120432848,2005,1
W2115309634,2005,3
W2165003530,2005,6
W2140975946,2005,11
W2116938231,2005,15
W2171559156,2005,4
W2145173015,2005,2
W2144801457,2005,7
W2129592894,2005,4
W2113270839,2005,9
W2170656593,2005,7
W2096641506,2005,4
W2102060881,2005,1
W2130190685,2005,7
W2127980861,2005,8
W2163713174,2005,11
W2158733641,2005,3
W2115123363,2005,6
W2169177915,2005,5
W2142125191,2005,8
W2161014167,2005,2
W2128968800,2005,6
W2157025482,2005,17
W2158918873,2005,2
W2157541444,2005,3
W2096484428,2005,24
W2117698763,2005,12
W2124238918,2005,1
W2294163059,2005,6
W2141967029,2005,5
W2141003035,2005,15
W2142068257,2005,34
W2142822968,2005,17
W2152935971,2005,25
W2097284091,2005,36
W2124431309,2005,11
W2113048824,2005,5
W2133177881,2005,8
W2153620664,2005,13
W2150801751,2005,4
W2152459663,2005,7
W2141364561,2005,29
W2138434937,2005,12
W2109125615,2005,2
W2126003552,2005,7
W2166761942,2005,7
W2150925050,2005,15
W1593641494,2005,38
W2096080031,2005,53
W2103517561,2005,1
W2168047527,2005,8
W1487602974,2005,8
W1512287614,2005,95
W1775412516,2005,13
W2162920501,2005,4
W2166947480,2005,36
W2101284865,2005,4
W2114870486,2005,10
W1546650522,2005,37
W2052606569,2005,11
W1530130015,2005,2
W1798643589,2005,13
W2107792420,2005,5
W2104386376,2005,2
W1498299056,2005,6
W1573951906,2005,10
W1484344574,2005,3
W2125723408,2005,11
W1604175472,2005,1
W1551627518,2005,6
W2154596435,2005,3
W1830192980,2005,1
W2136365714,2005,14
W2136108450,2004,3
W2129803757,2004,7
W2146762185,2004,3
W1964661732,2004,6
W2145764059,2004,4
W2150349645,2004,4
W2102074734,2004,6
W2159891107,2004,29
W2171712884,2004,9
W2170839387,2004,14
W2121698026,2004,12
W2163727044,2004,7
W2149309906,2004,11
W2142472794,2004,1
W2158001958,2004,3
W2135129760,2004,1
W2143138025,2004,4
W2145347746,2004,32
W2143308114,2004,4
W2151469952,2004,3
W2102841927,2004,12
W2107593895,2004,20
W2146310032,2004,14
W2154928623,2004,1
W2533610325,2004,10
W2149028520,2004,17
W2105208377,2004,8
W3142947634,2004,46
W2118877187,2004,17
W1479726876,2004,3
W2044145621,2004,29
W2114989451,2004,20
W4242777928,2004,11
W1596371655,2004,3
W3152038503,2004,7
W2118908268,2004,39
W2104706725,2004,29
W4233422246,2004,29
W2166775858,2004,14
W1548468326,2004,4
W2054501662,2004,11
W2089657241,2004,9
W2001659964,2004,2
W75109031,2004,1
W2032501254,2004,15
W2119386067,2004,8
W2096270637,2004,2
W1973733286,2004,35
W2054342044,2004,3
W2133013573,2004,15
W2099042970,2003,9
W1551898434,2003,20
W2101092654,2003,10
W3151224251,2003,47
W2104744826,2003,10
W2102530643,2003,24
W2104441030,2003,49
W2144995353,2003,12
W2099096003,2003,4
W2126560733,2003,22
W2141763411,2003,19
W2134166817,2003,3
W1998404833,2003,12
W2097621063,2003,16
W4250776769,2003,10
W2147109806,2003,15
W2104832179,2003,15
W2155731050,2003,5
W2147591526,2003,7
W2141835663,2003,1
W2116866329,2003,4
W2114039576,2003,25
W2156700256,2003,14
W2165276788,2003,2
W2154806583,2003,6
W2142501961,2003,8
W2126952686,2003,4
W2685613036,2003,3
W2163724382,2003,7
W2131898753,2003,38
W2130218153,2003,14
W2104075446,2003,17
W2165915693,2003,10
W2110746712,2003,14
W2100973677,2003,20
W2166137283,2003,5
W2145800914,2003,47
W2163702697,2003,4
W2118603691,2003,2
W1518163708,2003,17
W2114005694,2003,27
W2143275883,2002,8
W2159009096,2002,2
W2127139088,2002,1
W3150224893,2002,5
W3144131567,2002,4
W2146350882,2002,9
W2170832107,2002,5
W3141857971,2002,16
W2167384469,2002,11
W2096417185,2002,6
W3142178858,2002,2
W2119828687,2002,11
W2097754443,2002,12
W2128357383,2002,9
W2127097426,2002,1
W3140388725,2002,5
W4253173415,2002,7
W2122513521,2002,4
W2129676055,2002,9
W2117764062,2002,11
W2151933245,2002,11
W2129543445,2002,6
W2142115640,2002,36
W2167983404,2002,30
W2123697491,2002,11
W2121955354,2002,28
W2156136663,2002,20
W2098300754,2002,10
W1528577414,2002,2
W2142106840,2002,5
W1587493046,2002,3
W1561234899,2002,5
W2128596167,2002,7
W1567550435,2002,4
W2112130306,2002,5
W1585297471,2002,22
W2113022204,2001,3
W2106528248,2001,4
W2131621291,2001,13
W3149522800,2001,10
W2138979757,2001,12
W2533408896,2001,4
W3141149520,2001,42
W2016966772,2001,6
W4252100329,2001,9
W4231419987,2001,3
W2137531922,2001,4
W2119622165,2001,9
W2544794140,2001,13
W2031740700,2001,4
W1985423506,2001,1
W2147798083,2001,12
W2105079573,2001,6
W2098241120,2001,20
W2099166093,2001,21
W2098469281,2001,12
W1838945765,2001,10
W2133062512,2001,13
W2097236039,2001,36
W2121768666,2001,5
W2111967893,2001,15
W2065380250,2000,13
W4247730801,2000,9
W3144229920,2000,18
W2031478518,2000,5
W4238716399,2000,3
W2123445511,2000,8
W3147959344,2000,3
W2095497903,2000,14
W2054912309,2000,2
W2094651304,2000,3
W3149702595,2000,3
W2014411553,2000,2
W2071392461,2000,12
W3142743534,2000,10
W3145343953,2000,2
W2030092646,2000,2
W3144372682,2000,21
W2111916870,2000,6
W2164244016,2000,34
W2131189186,2000,3
W2143079781,2000,6
W2165729714,2000,6
W2128490637,2000,7
W165961000,2000,3
W4230696817,2000,24
W8289804,2000,6
W1834939163,2000,4
W2000371847,1999,2
W2169816546,1999,6
W2540198878,1999,16
W2036304985,1999,5
W2091115823,1999,12
W4245245049,1999,21
W3149175271,1999,22
W2018246367,1999,16
W2129601507,1999,2
W2008125147,1999,8
W1990393485,1999,4
W2147434114,1999,6
W2029883763,1999,7
W4232696329,1999,10
W3147279153,1999,30
W2008507659,1999,4
W2095105262,1999,36
W2120036382,1999,3
W2090088512,1999,26
W2111263072,1999,51
W1735790193,1999,39
W4249393364,1999,13
W2109257417,1999,5
W2155813900,1999,5
W1810950831,1999,1
W151364726,1999,9
W1562450177,1999,6
W3147583786,1998,23
W2007701319,1998,5
W2117160391,1998,10
W2541114472,1998,5
W3144437408,1998,19
W2126053368,1998,24
W2534349997,1998,8
W3146052257,1998,24
W2143981714,1998,3
W3145589230,1998,15
W3146575037,1998,30
W1755209849,1998,34
W1916757608,1998,14
W1961992291,1998,6
W1910357707,1998,11
W2146680453,1998,4
W2138447434,1998,13
W3150094105,1997,9
W3139588915,1997,14
W2107047260,1997,1
W1991484114,1997,4
W3141009312,1997,7
W2069231485,1997,15
W2532506824,1997,23
W2011658854,1997,38
W2066241849,1997,6
W2088906910,1997,4
W2071148027,1997,17
W1977532084,1997,9
W1968305696,1997,28
W1571662292,1997,5
W2060435553,1997,8
W2913872186,1997,22
W2161752583,1997,16
W2534553188,1996,4
W2122295916,1996,2
W4244065811,1996,18
W2156760499,1996,7
W2128136904,1996,10
W3147963387,1996,26
W4255574753,1996,14
W2099090501,1996,15
W2134859956,1996,7
W3152088239,1996,3
W2106297084,1996,6
W1651915441,1996,6
W2119664536,1996,17
W2153587307,1996,12
W2099182613,1996,12
W2167428947,1996,2
W2128938146,1996,55
W4249906271,1995,5
W2116680597,1995,16
W4233881202,1995,35
W4245386255,1995,12
W4236158674,1995,5
W2146224627,1995,8
W4248807401,1995,10
W2165204255,1995,5
W2111452541,1995,6
W2538055499,1995,15
W2019046028,1995,6
W2535433266,1995,14
W2013088214,1995,22
W2141018272,1995,60
W2026506423,1995,53
W2020477716,1995,6
W4256596898,1994,23
W1978073473,1994,11
W2152773509,1994,4
W1948193081,1994,1
W2105975314,1994,7
W2137833347,1994,17
W2017018978,1994,54
W2104733168,1994,7
W2079380280,1993,21
W2117616757,1993,13
W2101990964,1993,16
W2125944019,1993,22
W4254180709,1993,4
W2127831599,1993,3
W2107666439,1993,35
W2086724838,1992,5
W4236083265,1992,29
W4246560761,1992,4
W4245815701,1992,6
W4244354616,1991,4
W4252643390,1991,9
W4239607958,1991,19
W4245891287,1991,80
W1969387177,1991,5
W4245217443,1990,30
W4255692800,1990,73
W4237685258,1990,3
W4246272943,1990,3
